Asset Symbol,Asset Class,Asset Sub-Class,Asset Sector
SPFF,Preferred Stock,Preferred Stock/Convertible Bonds,
EWI,Equity,Global - Developed Markets Equities - Canada & Europe,
HYGV,Bond,US - High Yield Bonds,
FXU,Equity,US - All Cap Equities,Utilities
JUST,Equity,US - Large Cap Growth Equities,
FBCG,Equity,US - Large Cap Growth Equities,
GHYG,Bond,US - Corporate Bonds,
PSP,Equity,Global - Global Equities,Financials
TTAC,Equity,US - Large Cap Growth Equities,
NUBD,Bond,US - Total Bond Market,
SCHI,Bond,US - Corporate Bonds,
CDL,Equity,US - Large Cap Value Equities,
FXZ,Equity,US - All Cap Equities,Materials
HUSV,Equity,US - All Cap Equities,
SPHY,Bond,US - High Yield Bonds,
FNGO,Leveraged Equity,Leveraged Equities,
PKB,Equity,US - All Cap Equities,Materials
SHE,Equity,US - Large Cap Growth Equities,
ACIO,Multi-Asset,Diversified Portfolio,
MLPB,Equity,US - Large Cap Blend Equities,Energy
IEO,Equity,US - All Cap Equities,Energy
WFH,Equity,US - All Cap Equities,Technology
GBF,Bond,US - Total Bond Market,
JPSE,Equity,US - Small Cap Growth Equities,
TOK,Equity,US - Large Cap Growth Equities,
FDHY,Bond,US - High Yield Bonds,
DTEC,Equity,US - Large Cap Growth Equities,Technology
BSJP,Bond,US - Corporate Bonds,
SMMD,Equity,US - Small Cap Growth Equities,
HNDL,Multi-Asset,Diversified Portfolio,
CSML,Equity,US - Small Cap Blend Equities,
RYF,Equity,US - Large Cap Blend Equities,Financials
DEUS,Equity,US - All Cap Equities,
IBD,Bond,US - Corporate Bonds,
PBP,Multi-Asset,US - Large Cap Blend Equities,
PAPR,Equity,US - Large Cap Blend Equities,
FLV,Equity,Global - Global Equities,
EPRF,Preferred Stock,Preferred Stock/Convertible Bonds,
USD,Leveraged Equity,Leveraged Equities,Technology
VALQ,Equity,US - Large Cap Value Equities,
GHYB,Bond,US - Corporate Bonds,
JEPI,Equity,US - Large Cap Blend Equities,
EDEN,Equity,Global - Developed Markets Equities - Canada & Europe,
RZV,Equity,US - Small Cap Value Equities,
FQAL,Equity,US - Large Cap Growth Equities,
CURE,Leveraged Equity,Leveraged Equities,Healthcare
FCTR,Equity,US - Large Cap Growth Equities,
HMOP,Bond,US - Municipal Bonds,
XES,Equity,US - All Cap Equities,Energy
BTAL,Alternatives,Long-Short,
PRNT,Equity,US - All Cap Equities,Technology
RFDA,Equity,US - Large Cap Growth Equities,
XSMO,Equity,US - Small Cap Growth Equities,
KORP,Bond,US - Corporate Bonds,
LRGE,Equity,US - Large Cap Growth Equities,
LGH,Multi-Asset,US - Large Cap Blend Equities,
PHDG,Equity,Hedge Fund,Financials
ESGG,Equity,US - Large Cap Growth Equities,
INKM,Multi-Asset,Global - Global Equities,
MILN,Equity,US - Large Cap Growth Equities,
XYLD,Multi-Asset,Long-Short,
PTIN,Multi-Asset,Global - Developed Markets Equities,
HCRB,Bond,US - Total Bond Market,
HTEC,Equity,Global - Global Equities,Healthcare
OVB,Bond,US - Total Bond Market,
PWC,Equity,US - All Cap Equities,
OUSM,Equity,US - Small Cap Blend Equities,
RYJ,Equity,US - Small Cap Blend Equities,
RZG,Equity,US - Small Cap Growth Equities,
OVL,Equity,US - Large Cap Growth Equities,
OVLH,Equity,US - Large Cap Blend Equities,
IMTB,Bond,US - Short Term Government Bonds,
FLLV,Equity,US - All Cap Equities,
FDM,Equity,US - Small Cap Blend Equities,
FYT,Equity,US - Small Cap Value Equities,
BFOR,Equity,US - All Cap Equities,
DJD,Equity,US - Large Cap Value Equities,Industrials
DIG,Leveraged Equity,Leveraged Equities,Energy
QLV,Equity,US - All Cap Equities,
DVOL,Equity,US - All Cap Equities,
FIBR,Bond,US - Total Bond Market,
QARP,Equity,US - Large Cap Growth Equities,
VRAI,Real Estate,US - Real Estate,Real Estate
