Rebalancing Date:,Portfolio Value:,Portfolio returns:,Portfolio Running High Value:,Portfolio Maximum DrawDown:
2016-11-30,2858.4921283679387,0.037305506442688596,,-0.0
2016-12-30,2909.6892020496234,0.017910517637463652,,-0.0
2017-01-31,2885.858022829573,-0.008190283416958488,,-0.008190283416958492
2017-02-28,2872.6527602872006,-0.004575853156291054,,-0.012728659039025139
2017-03-31,2893.1616694185354,0.007139362409149808,,-0.005680171139737456
2017-04-28,2999.2411137466265,0.03666557781729862,,-0.0
2017-05-31,3255.087015609942,0.08530354585054178,,-0.0
2017-06-30,3312.2291061104447,0.01755470444460472,,-0.0
2017-07-31,3505.6654572225825,0.05840065554501761,,-0.0
2017-08-31,3546.823583486005,0.011740460339313419,,-0.0
2017-09-29,3600.458704163714,0.015122015351266338,,-0.0
2017-10-31,3733.530554724005,0.0369596936097063,,-0.0
2017-11-30,3887.6822523251367,0.041288452134424114,,-0.0
2017-12-29,3984.8432083165053,0.024992000293557526,,-0.0
2018-01-31,4170.332896872938,0.04654880477337464,,-0.0
2018-02-28,4161.865707868991,-0.002030338875415927,,-0.0020303388754159563
2018-03-26,4167.771749922246,0.0014190852054856151,,-0.0006141348937905003
2018-04-30,4102.22705284392,-0.015726556301829286,,-0.016331032968635716
2018-05-04,4086.5763384784864,-0.003815175065598586,,-0.020083902284456855
2018-05-10,4074.032847731139,-0.0030694375213892178,,-0.02309169352259826
2018-05-16,4096.076179452479,0.00541069071979039,,-0.017805944814654938
2018-05-22,4087.157654537682,-0.0021773337516366453,,-0.019944509081666856
2018-05-24,4080.722283874844,-0.0015745344825868202,,-0.021487640246966283
2018-06-06,4078.1635639647097,-0.0006270262301958374,,-0.02210119316310226
2018-06-29,4022.257005421747,-0.013708758284479261,,-0.03550697153270994
2018-07-31,4068.3576040796806,0.011461375689269193,,-0.024452554583765333
2018-08-31,4081.7272274719176,0.0032862458744604695,,-0.021246665815925735
2018-09-28,4010.9014038785704,-0.01735192472359659,,-0.038229919993656936
2018-10-12,3745.990265597562,-0.06604778118575472,,-0.10175269978892172
2018-10-18,3770.571957376885,0.006562134452157142,,-0.09585828023364944
2018-10-19,3772.591865745243,0.0005357034400061966,,-0.09537392840411746
2018-10-26,3812.5201176761607,0.01058377194031035,,-0.08579957237108775
2018-10-29,3819.3407376711975,0.0017890056404985533,,-0.08416406264951344
2018-12-07,3832.9763517544397,0.0035701486250625525,,-0.08089439223699872
2018-12-10,3826.847414194422,-0.0015990021846109537,,-0.0823640441117
2018-12-17,3989.3235443412627,0.04245691363188131,,-0.04340405358704164
2018-12-31,4057.125743746643,0.016995913881579172,,-0.027145831262339305
2019-01-31,4102.139756462608,0.011095049934142676,,-0.01635196568155609
2019-02-28,4347.9583677350465,0.05992448474851941,,-0.0
2019-03-29,4340.855004584727,-0.0016337238192140058,,-0.0016337238192140155
2019-04-30,4485.592655302362,0.03334312032186415,,-0.0
2019-05-31,4099.189219574759,-0.08614322909389482,,-0.0861432290938948
2019-06-28,4302.80875875091,0.04967312516431588,,-0.04074910733041831
2019-07-31,4380.455621649341,0.018045622580951548,,-0.023438827760862247
2019-08-30,4376.169544326807,-0.0009784546843372155,,-0.024394348614381424
2019-09-30,4226.983667305158,-0.03409051580623779,,-0.05765324849359778
2019-10-31,4286.155551109059,0.013998607153745013,,-0.04446170651665186
2019-11-29,4342.3207253608325,0.013103858126950252,,-0.03194046828397792
2019-12-31,4525.994863639228,0.042298611709095546,,-0.0
2020-01-31,4525.333736043614,-0.00014607343037997822,,-0.00014607343037995401
2020-02-28,4558.239452475946,0.007271445235130791,,-0.0
2020-03-12,3962.164985585734,-0.1307685726265293,,-0.13076857262652924
2020-03-20,4282.291850273474,0.0807959451088871,,-0.060538197933542655
2020-03-31,4288.027476587035,0.0013393823947789318,,-0.059279899335287545
